id,name,state,created_at,tags,url,arch,ratio,dataset,epochs,steps_per_epoch,batch_size,image_size,learning_rate,use_2d_fusion,use_hilbert,use_zigzag,ssm_state_dim,emb_features,num_layers,num_heads,patch_size,noise_schedule,ema_decay,augmentation_mode,step,runtime_sec,best_val_clip_score,val_clip_score,best_val_clip_similarity,val_clip_similarity,best_val_loss,val_loss,train_loss,train_best_loss,train_avg_loss
rsalaq6v,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-5102473291259678067/date-2026-04-28_08:02:45,crashed,2026-04-28T08:02:47Z,[],https://wandb.ai/umd-projects/msml612-training/runs/rsalaq6v,hybrid_dit+2d+hilbert,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,,,,,,,,,,,
ltmzjgjc,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--2615397484756929151/date-2026-04-28_06:47:55,crashed,2026-04-28T06:47:57Z,[],https://wandb.ai/umd-projects/msml612-training/runs/ltmzjgjc,hybrid_dit+2d+hilbert,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,8229,4093.918401242,27.84375,27.796875,0.7216796875,0.7216796875,,,0.4946121275424957,0.4788991510868073,0.4788991510868073
j4l1c2sf,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-6785828359956782371/date-2026-04-28_06:10:02,crashed,2026-04-28T06:10:03Z,[],https://wandb.ai/umd-projects/msml612-training/runs/j4l1c2sf,hybrid_dit+2d+zigzag,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,1778,1634.377548829,19.9375,19.9375,0.80078125,0.80078125,,,0.5289729833602905,0.5143130421638489,0.5143130421638489
urk5cl3o,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-1426776736046865630/date-2026-04-28_05:43:28,crashed,2026-04-28T05:43:30Z,[],https://wandb.ai/umd-projects/msml612-training/runs/urk5cl3o,hybrid_dit+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,7213,3221.365274758,26.984375,26.984375,0.73046875,0.73046875,,,0.48663270473480225,0.48383745551109314,0.48383745551109314
9jeitspu,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--3185535660719290734/date-2026-04-28_05:15:49,finished,2026-04-28T05:15:51Z,[],https://wandb.ai/umd-projects/msml612-training/runs/9jeitspu,hybrid_dit+2d+zigzag,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,8614.548522358,28.53125,28.265625,0.71484375,0.71728515625,,,0.4699481725692749,0.4547031223773956,0.4547031223773956
0v0xdeih,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--3999984402428984055/date-2026-04-28_05:15:42,finished,2026-04-28T05:15:44Z,[],https://wandb.ai/umd-projects/msml612-training/runs/0v0xdeih,hybrid_dit+2d+hilbert,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,8577.598910569,28.53125,28.4375,0.71484375,0.7158203125,,,0.4710284471511841,0.45515716075897217,0.45515716075897217
2w5ztkw9,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-8318359682265469118/date-2026-04-26_21:10:04,finished,2026-04-26T21:10:05Z,[],https://wandb.ai/umd-projects/msml612-training/runs/2w5ztkw9,hybrid_dit+2d+hilbert,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7713.827299337,28.546875,28.1875,0.71435546875,0.71826171875,,,0.4700976610183716,0.4548501968383789,0.4548501968383789
g05oxwwn,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-9131397681148974340/date-2026-04-26_19:53:03,finished,2026-04-26T19:53:04Z,[],https://wandb.ai/umd-projects/msml612-training/runs/g05oxwwn,hybrid_dit+2d+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7036.416401841,28.53125,28.265625,0.71484375,0.71728515625,,,0.4679855704307556,0.4530104100704193,0.4530104100704193
hbnbjn6p,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--5881591995564419136/date-2026-04-26_16:13:20,crashed,2026-04-26T16:13:22Z,[],https://wandb.ai/umd-projects/msml612-training/runs/hbnbjn6p,hybrid_dit+2d,3:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,17373,10371.751859579,28.5,28.5,0.71533203125,0.71533203125,,,0.5036646127700806,0.4534270167350769,0.45361390709877014
m7otn3bn,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--6542829787508175610/date-2026-04-26_13:43:06,finished,2026-04-26T13:43:07Z,[],https://wandb.ai/umd-projects/msml612-training/runs/m7otn3bn,hybrid_dit+2d+zigzag,1:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7092.218468687,28.671875,28.34375,0.71337890625,0.716796875,,,0.4683193862438202,0.4529288709163666,0.4529288709163666
